species	genus	family
Armeria arenaria	Armeria	Plumbaginaceae
Armeria maritima	Armeria	Plumbaginaceae
Armeria pungens	Armeria	Plumbaginaceae
Arnica montana	Arnica	Asteraceae
Arnoseris minima	Arnoseris	Asteraceae
Arrhenatherum elatius	Arrhenatherum	Poaceae
Artemisia campestris	Artemisia	Asteraceae
Artemisia verlotiorum	Artemisia	Asteraceae
Artemisia vulgaris	Artemisia	Asteraceae
Arum cylindraceum	Arum	Araceae
Arum italicum	Arum	Araceae
Arundo donax	Arundo	Poaceae
Asparagus acutifolius	Asparagus	Asparagaceae
Asparagus albus	Asparagus	Asparagaceae
Asparagus aphyllus	Asparagus	Asparagaceae
Asperula aristata	Asperula	Rubiaceae
Asperula arvensis	Asperula	Rubiaceae
Asphodelus aestivus	Asphodelus	Asphodelaceae
Asphodelus albus	Asphodelus	Asphodelaceae
Asphodelus fistulosus	Asphodelus	Asphodelaceae
Asphodelus macrocarpus	Asphodelus	Asphodelaceae
Asphodelus ramosus	Asphodelus	Asphodelaceae
Asphodelus serotinus	Asphodelus	Asphodelaceae
Asplenium adiantum-nigrum	Asplenium	Aspleniaceae
Asplenium marinum	Asplenium	Aspleniaceae
Asplenium obovatum	Asplenium	Aspleniaceae
Asplenium onopteris	Asplenium	Aspleniaceae
Asplenium petrarchae	Asplenium	Aspleniaceae
Asplenium ruta-muraria	Asplenium	Aspleniaceae
Asplenium septentrionale	Asplenium	Aspleniaceae
Asplenium trichomanes	Asplenium	Aspleniaceae
Asteriscus aquaticus	Asteriscus	Asteraceae
Astragalus boeticus	Astragalus	Fabaceae
Astragalus echinatus	Astragalus	Fabaceae
Astragalus glycyphyllos	Astragalus	Fabaceae
Astragalus hamosus	Astragalus	Fabaceae
Astragalus incanus	Astragalus	Fabaceae
Astragalus tragacantha	Astragalus	Fabaceae
Athyrium filix-femina	Athyrium	Athyriaceae
Atractylis cancellata	Atractylis	Asteraceae
Atriplex halimus	Atriplex	Amaranthaceae
Atriplex patula	Atriplex	Amaranthaceae
Atriplex prostrata	Atriplex	Amaranthaceae
Avena barbata	Avena	Poaceae
Avena fatua	Avena	Poaceae
Avena sativa	Avena	Poaceae
Avena sterilis	Avena	Poaceae
Avenula pubescens	Avenula	Poaceae
Azolla filiculoides	Azolla	Salviniaceae
Baldellia ranunculoides	Baldellia	Alismataceae
Baldellia repens	Baldellia	Alismataceae
Ballota hirsuta	Ballota	Lamiaceae
Ballota nigra	Ballota	Lamiaceae
Barbarea intermedia	Barbarea	Brassicaceae
Barbarea verna	Barbarea	Brassicaceae
Barbarea vulgaris	Barbarea	Brassicaceae
Bassia scoparia	Bassia	Amaranthaceae
Bellis annua	Bellis	Asteraceae
Bellis perennis	Bellis	Asteraceae
Bellis sylvestris	Bellis	Asteraceae
Berula erecta	Berula	Apiaceae
Beta maritima	Beta	Amaranthaceae
Betula pubescens	Betula	Betulaceae
Bidens aurea	Bidens	Asteraceae
Bidens frondosa	Bidens	Asteraceae
Bidens pilosa	Bidens	Asteraceae
Bidens tripartita	Bidens	Asteraceae
Biscutella auriculata	Biscutella	Brassicaceae
Biscutella valentina	Biscutella	Brassicaceae
Bituminaria bituminosa	Bituminaria	Fabaceae
Blackstonia acuminata	Blackstonia	Gentianaceae
Blackstonia perfoliata	Blackstonia	Gentianaceae
Bolboschoenus glaucus	Bolboschoenus	Cyperaceae
Bolboschoenus maritimus	Bolboschoenus	Cyperaceae
Bombycilaena erecta	Bombycilaena	Asteraceae
Borago officinalis	Borago	Boraginaceae
Brachypodium distachyon	Brachypodium	Poaceae
Brachypodium retusum	Brachypodium	Poaceae
Brachypodium sylvaticum	Brachypodium	Poaceae
Brassica nigra	Brassica	Brassicaceae
Brassica oleracea	Brassica	Brassicaceae
Briza maxima	Briza	Poaceae
Briza media	Briza	Poaceae
Briza minor	Briza	Poaceae
Bromus catharticus	Bromus	Poaceae
Bromus diandrus	Bromus	Poaceae
Bromus hordeaceus	Bromus	Poaceae
Bromus madritensis	Bromus	Poaceae
Bromus racemosus	Bromus	Poaceae
Bromus ramosus	Bromus	Poaceae
Bromus rubens	Bromus	Poaceae
Bromus squarrosus	Bromus	Poaceae
Bromus sterilis	Bromus	Poaceae
Bromus tectorum	Bromus	Poaceae
Bryonia dioica	Bryonia	Cucurbitaceae
Buddleja davidii	Buddleja	Scrophulariaceae
Buglossoides arvensis	Buglossoides	Boraginaceae
Bunias erucago	Bunias	Brassicaceae
Bunium bulbocastanum	Bunium	Apiaceae
Bupleurum fruticosum	Bupleurum	Apiaceae
Bupleurum rigidum	Bupleurum	Apiaceae
Bupleurum tenuissimum	Bupleurum	Apiaceae
Butomus umbellatus	Butomus	Butomaceae
Buxus sempervirens	Buxus	Buxaceae
Cakile maritima	Cakile	Brassicaceae
Calamagrostis arundinacea	Calamagrostis	Poaceae
Calendula arvensis	Calendula	Asteraceae
Calendula suffruticosa	Calendula	Asteraceae
Calepina irregularis	Calepina	Brassicaceae
Calicotome villosa	Calicotome	Fabaceae
Callitriche brutia	Callitriche	Plantaginaceae
Callitriche stagnalis	Callitriche	Plantaginaceae
Calluna vulgaris	Calluna	Ericaceae
Caltha palustris	Caltha	Ranunculaceae
Calystegia sepium	Calystegia	Convolvulaceae
Calystegia silvatica	Calystegia	Convolvulaceae
Calystegia soldanella	Calystegia	Convolvulaceae
Camelina microcarpa	Camelina	Brassicaceae
Campanula erinus	Campanula	Campanulaceae
Campanula lusitanica	Campanula	Campanulaceae
Campanula rapunculus	Campanula	Campanulaceae
Canna indica	Canna	Cannaceae
Capsella bursa-pastoris	Capsella	Brassicaceae
Cardamine flexuosa	Cardamine	Brassicaceae
Cardamine hirsuta	Cardamine	Brassicaceae
Cardamine parviflora	Cardamine	Brassicaceae
Cardamine pratensis	Cardamine	Brassicaceae
Carduncellus caeruleus	Carduncellus	Asteraceae
Carduus platypus	Carduus	Asteraceae
Carduus pycnocephalus	Carduus	Asteraceae
Carduus tenuiflorus	Carduus	Asteraceae
Carex arenaria	Carex	Cyperaceae
Carex caryophyllea	Carex	Cyperaceae
Carex demissa	Carex	Cyperaceae
Carex distans	Carex	Cyperaceae
Carex divisa	Carex	Cyperaceae
Carex divulsa	Carex	Cyperaceae
Carex echinata	Carex	Cyperaceae
Carex elata	Carex	Cyperaceae
Carex extensa	Carex	Cyperaceae
Carex flacca	Carex	Cyperaceae
Carex hirta	Carex	Cyperaceae
Carex hispida	Carex	Cyperaceae
Carex lepidocarpa	Carex	Cyperaceae
Carex leporina	Carex	Cyperaceae
Carex muricata	Carex	Cyperaceae
Carex nigra	Carex	Cyperaceae
Carex panicea	Carex	Cyperaceae
Carex paniculata	Carex	Cyperaceae
Carex pendula	Carex	Cyperaceae
Carex pilulifera	Carex	Cyperaceae
Carex pseudocyperus	Carex	Cyperaceae
Carex punctata	Carex	Cyperaceae
Carex remota	Carex	Cyperaceae
Carex riparia	Carex	Cyperaceae
Carex sylvatica	Carex	Cyperaceae
Carex trinervis	Carex	Cyperaceae
Carex vesicaria	Carex	Cyperaceae
Carlina hispanica	Carlina	Asteraceae
Carlina racemosa	Carlina	Asteraceae
Carlina vulgaris	Carlina	Asteraceae
Carpobrotus edulis	Carpobrotus	Aizoaceae
Carrichtera annua	Carrichtera	Brassicaceae
Carthamus lanatus	Carthamus	Asteraceae
Carum verticillatum	Carum	Apiaceae
Castanea sativa	Castanea	Fagaceae
Catananche caerulea	Catananche	Asteraceae
Catapodium marinum	Catapodium	Poaceae
Catapodium rigidum	Catapodium	Poaceae
Celtis australis	Celtis	Cannabaceae
Centaurea alba	Centaurea	Asteraceae
Centaurea aspera	Centaurea	Asteraceae
Centaurea calcitrapa	Centaurea	Asteraceae
Centaurea collina	Centaurea	Asteraceae
Centaurea cyanus	Centaurea	Asteraceae
Centaurea melitensis	Centaurea	Asteraceae
Centaurea nigra	Centaurea	Asteraceae
Centaurea ornata	Centaurea	Asteraceae
Centaurea paniculata	Centaurea	Asteraceae
Centaurea pullata	Centaurea	Asteraceae
Centaurea sphaerocephala	Centaurea	Asteraceae
Centaurium erythraea	Centaurium	Gentianaceae
Centaurium maritimum	Centaurium	Gentianaceae
Centaurium pulchellum	Centaurium	Gentianaceae
Centranthus calcitrapae	Centranthus	Caprifoliaceae
Centranthus ruber	Centranthus	Caprifoliaceae
Centunculus minimus	Lysimachia	Primulaceae
Cephalanthera longifolia	Cephalanthera	Orchidaceae
Cephalanthera rubra	Cephalanthera	Orchidaceae
Cephalaria leucantha	Cephalaria	Caprifoliaceae
Cerastium brachypetalum	Cerastium	Caryophyllaceae
Cerastium diffusum	Cerastium	Caryophyllaceae
Cerastium fontanum	Cerastium	Caryophyllaceae
Cerastium glomeratum	Cerastium	Caryophyllaceae
Cerastium ramosissimum	Cerastium	Caryophyllaceae
Cerastium semidecandrum	Cerastium	Caryophyllaceae
Ceratocapnos claviculata	Ceratocapnos	Papaveraceae
Ceratonia siliqua	Ceratonia	Fabaceae
Ceratophyllum demersum	Ceratophyllum	Ceratophyllaceae
Cerinthe major	Cerinthe	Boraginaceae
Chaenorhinum minus	Chaenorhinum	Plantaginaceae
Chaenorhinum origanifolium	Chaenorhinum	Plantaginaceae
Chaerophyllum temulum	Chaerophyllum	Apiaceae
Chamaecyparis lawsoniana	Chamaecyparis	Cupressaceae
Chamaemelum fuscatum	Chamaemelum	Asteraceae
Chamaemelum nobile	Chamaemelum	Asteraceae
Chamaerops humilis	Chamaerops	Arecaceae
Cheirolophus sempervirens	Cheirolophus	Asteraceae
Chelidonium majus	Chelidonium	Papaveraceae
Chenopodium album	Chenopodium	Amaranthaceae
Chenopodium opulifolium	Chenopodium	Amaranthaceae
Chenopodium vulvaria	Chenopodium	Amaranthaceae
Chondrilla juncea	Chondrilla	Asteraceae
Chrozophora tinctoria	Chrozophora	Euphorbiaceae
Chrysosplenium oppositifolium	Chrysosplenium	Saxifragaceae
Cicendia filiformis	Cicendia	Gentianaceae
Cichorium intybus	Cichorium	Asteraceae
Circaea lutetiana	Circaea	Onagraceae
Cirsium arvense	Cirsium	Asteraceae
Cirsium filipendulum	Cirsium	Asteraceae
Cirsium palustre	Cirsium	Asteraceae
Cirsium vulgare	Cirsium	Asteraceae
Cistanche phelypaea	Cistanche	Orobanchaceae
Cistus albidus	Cistus	Cistaceae
Cistus crispus	Cistus	Cistaceae
Cistus ladanifer	Cistus	Cistaceae
Cistus laurifolius	Cistus	Cistaceae
Cistus monspeliensis	Cistus	Cistaceae
Cistus populifolius	Cistus	Cistaceae
Cistus salviifolius	Cistus	Cistaceae
Cladium mariscus	Cladium	Cyperaceae
Clematis cirrhosa	Clematis	Ranunculaceae
Clematis flammula	Clematis	Ranunculaceae
Clematis vitalba	Clematis	Ranunculaceae
Cleome violacea	Cleome	Cleomaceae
Cleonia lusitanica	Cleonia	Lamiaceae
Clinopodium vulgare	Clinopodium	Lamiaceae
Cochlearia danica	Cochlearia	Brassicaceae
Coincya monensis	Coincya	Brassicaceae
Colchicum lusitanum	Colchicum	Colchicaceae
Coleostephus myconis	Coleostephus	Asteraceae
Colocasia esculenta	Colocasia	Araceae
Conium maculatum	Conium	Apiaceae
Conopodium majus	Conopodium	Apiaceae
Convolvulus althaeoides	Convolvulus	Convolvulaceae
Convolvulus arvensis	Convolvulus	Convolvulaceae
Convolvulus lineatus	Convolvulus	Convolvulaceae
Convolvulus meonanthus	Convolvulus	Convolvulaceae
Convolvulus siculus	Convolvulus	Convolvulaceae
Convolvulus tricolor	Convolvulus	Convolvulaceae
Corema album	Corema	Ericaceae
Cornus sanguinea	Cornus	Cornaceae
Coronilla juncea	Coronilla	Fabaceae
Coronilla minima	Coronilla	Fabaceae
Coronilla scorpioides	Coronilla	Fabaceae
Corrigiola litoralis	Corrigiola	Caryophyllaceae
Corrigiola telephiifolia	Corrigiola	Caryophyllaceae
Cortaderia selloana	Cortaderia	Poaceae
Corydalis cava	Corydalis	Papaveraceae
Corylus avellana	Corylus	Betulaceae
Corynephorus canescens	Corynephorus	Poaceae
Cosentinia vellea	Cosentinia	Pteridaceae
Cotula australis	Cotula	Asteraceae
Cotula coronopifolia	Cotula	Asteraceae
Crambe hispanica	Crambe	Brassicaceae
Crassula tillaea	Crassula	Crassulaceae
Crataegus monogyna	Crataegus	Rosaceae
Crepis capillaris	Crepis	Asteraceae
Crepis foetida	Crepis	Asteraceae
Crepis pulchra	Crepis	Asteraceae
Crepis vesicaria	Crepis	Asteraceae
Crithmum maritimum	Crithmum	Apiaceae
Crocus carpetanus	Crocus	Iridaceae
Crocus serotinus	Crocus	Iridaceae
Crucianella angustifolia	Crucianella	Rubiaceae
Crucianella maritima	Crucianella	Rubiaceae
Cruciata glabra	Cruciata	Rubiaceae
Cruciata laevipes	Cruciata	Rubiaceae
Cruciata pedemontana	Cruciata	Rubiaceae
Crupina vulgaris	Crupina	Asteraceae
Cryptogramma crispa	Cryptogramma	Pteridaceae
Cryptomeria japonica	Cryptomeria	Cupressaceae
Cuscuta epithymum	Cuscuta	Convolvulaceae
Cymbalaria muralis	Cymbalaria	Plantaginaceae
Cymodocea nodosa	Cymodocea	Cymodoceaceae
Cynanchum acutum	Cynanchum	Apocynaceae
Cynara cardunculus	Cynara	Asteraceae
Cynara humilis	Cynara	Asteraceae
Cynodon dactylon	Cynodon	Poaceae
Cynoglossum clandestinum	Cynoglossum	Boraginaceae
Cynoglossum creticum	Cynoglossum	Boraginaceae
Cynomorium coccineum	Cynomorium	Cynomoriaceae
Cynosurus cristatus	Cynosurus	Poaceae
Cynosurus echinatus	Cynosurus	Poaceae
Cyperus capitatus	Cyperus	Cyperaceae
Cyperus eragrostis	Cyperus	Cyperaceae
Cyperus esculentus	Cyperus	Cyperaceae
Cyperus fuscus	Cyperus	Cyperaceae
Cyperus longus	Cyperus	Cyperaceae
Cyperus michelianus	Cyperus	Cyperaceae
Cyperus rotundus	Cyperus	Cyperaceae
Cystopteris fragilis	Cystopteris	Cystopteridaceae
Cytinus hypocistis	Cytinus	Cytinaceae
Cytinus ruber	Cytinus	Cytinaceae
Cytisus grandiflorus	Cytisus	Fabaceae
Cytisus multiflorus	Cytisus	Fabaceae
Cytisus oromediterraneus	Cytisus	Fabaceae
Cytisus scoparius	Cytisus	Fabaceae
Cytisus striatus	Cytisus	Fabaceae
Daboecia cantabrica	Daboecia	Ericaceae
Dactylis glomerata	Dactylis	Poaceae
Dactylorhiza elata	Dactylorhiza	Orchidaceae
Dactylorhiza insularis	Dactylorhiza	Orchidaceae
Dactylorhiza maculata	Dactylorhiza	Orchidaceae
Danthonia decumbens	Danthonia	Poaceae
Daphne gnidium	Daphne	Thymelaeaceae
Daphne laureola	Daphne	Thymelaeaceae
Datura stramonium	Datura	Solanaceae
Daucus carota	Daucus	Apiaceae
Daucus muricatus	Daucus	Apiaceae
Davallia canariensis	Davallia	Davalliaceae
Delphinium gracile	Delphinium	Ranunculaceae
Delphinium halteratum	Delphinium	Ranunculaceae
Delphinium pentagynum	Delphinium	Ranunculaceae
Deschampsia cespitosa	Deschampsia	Poaceae
Dianthus armeria	Dianthus	Caryophyllaceae
Dianthus broteri	Dianthus	Caryophyllaceae
Dianthus hyssopifolius	Dianthus	Caryophyllaceae
Dianthus lusitanus	Dianthus	Caryophyllaceae
Digitalis purpurea	Digitalis	Plantaginaceae
Digitalis thapsi	Digitalis	Plantaginaceae
Digitaria ischaemum	Digitaria	Poaceae
Digitaria sanguinalis	Digitaria	Poaceae
Dipcadi serotinum	Dipcadi	Asparagaceae
Diplotaxis catholica	Diplotaxis	Brassicaceae
Diplotaxis muralis	Diplotaxis	Brassicaceae
Diplotaxis tenuifolia	Diplotaxis	Brassicaceae
Diplotaxis virgata	Diplotaxis	Brassicaceae
Dipsacus comosus	Dipsacus	Caprifoliaceae
Dipsacus fullonum	Dipsacus	Caprifoliaceae
Disphyma crassifolium	Disphyma	Aizoaceae
Dittrichia graveolens	Dittrichia	Asteraceae
Dittrichia viscosa	Dittrichia	Asteraceae
Doronicum plantagineum	Doronicum	Asteraceae
Dorycnopsis gerardi	Dorycnopsis	Fabaceae
Draba muralis	Draba	Brassicaceae
Drosanthemum floribundum	Drosanthemum	Aizoaceae
Drosera intermedia	Drosera	Droseraceae
Drosera rotundifolia	Drosera	Droseraceae
Drosophyllum lusitanicum	Drosophyllum	Drosophyllaceae
Dryopteris affinis	Dryopteris	Dryopteridaceae
Dryopteris carthusiana	Dryopteris	Dryopteridaceae
Dryopteris dilatata	Dryopteris	Dryopteridaceae
Dryopteris expansa	Dryopteris	Dryopteridaceae
Dryopteris filix-mas	Dryopteris	Dryopteridaceae
Ecballium elaterium	Ecballium	Cucurbitaceae
Echinochloa crus-galli	Echinochloa	Poaceae
Echinops strigosus	Echinops	Asteraceae
Echinospartum ibericum	Echinospartum	Fabaceae
Echium boissieri	Echium	Boraginaceae
Echium creticum	Echium	Boraginaceae
Echium gaditanum	Echium	Boraginaceae
Echium lusitanicum	Echium	Boraginaceae
Echium plantagineum	Echium	Boraginaceae
Echium rosulatum	Echium	Boraginaceae
Echium vulgare	Echium	Boraginaceae
Eclipta prostrata	Eclipta	Asteraceae
Egeria densa	Egeria	Hydrocharitaceae
Eichhornia crassipes	Eichhornia	Pontederiaceae
Elaeagnus angustifolia	Elaeagnus	Elaeagnaceae
Elatine hexandra	Elatine	Elatinaceae
Eleocharis acicularis	Eleocharis	Cyperaceae
Eleocharis multicaulis	Eleocharis	Cyperaceae
Eleocharis palustris	Eleocharis	Cyperaceae
Eleocharis uniglumis	Eleocharis	Cyperaceae
Elymus athericus	Elymus	Poaceae
Elymus caninus	Elymus	Poaceae
Elymus repens	Elymus	Poaceae
Ephedra fragilis	Ephedra	Ephedraceae
Epilobium brachycarpum	Epilobium	Onagraceae
Epilobium hirsutum	Epilobium	Onagraceae
Epilobium lanceolatum	Epilobium	Onagraceae
Epilobium obscurum	Epilobium	Onagraceae
Epilobium palustre	Epilobium	Onagraceae
Epilobium parviflorum	Epilobium	Onagraceae
Epilobium tetragonum	Epilobium	Onagraceae
Epipactis helleborine	Epipactis	Orchidaceae
Epipactis tremolsii	Epipactis	Orchidaceae
Equisetum arvense	Equisetum	Equisetaceae
Equisetum palustre	Equisetum	Equisetaceae
Equisetum ramosissimum	Equisetum	Equisetaceae
Equisetum telmateia	Equisetum	Equisetaceae
Eragrostis minor	Eragrostis	Poaceae
Eragrostis pilosa	Eragrostis	Poaceae
Erica arborea	Erica	Ericaceae
Erica australis	Erica	Ericaceae
Erica ciliaris	Erica	Ericaceae
Erica cinerea	Erica	Ericaceae
Erica erigena	Erica	Ericaceae
Erica lusitanica	Erica	Ericaceae
Erica scoparia	Erica	Ericaceae
Erica tetralix	Erica	Ericaceae
Erica umbellata	Erica	Ericaceae
Erigeron acris	Erigeron	Asteraceae
Erigeron karvinskianus	Erigeron	Asteraceae
Eriophorum angustifolium	Eriophorum	Cyperaceae
Erodium acaule	Erodium	Geraniaceae
Erodium botrys	Erodium	Geraniaceae
Erodium chium	Erodium	Geraniaceae
Erodium cicutarium	Erodium	Geraniaceae
Erodium laciniatum	Erodium	Geraniaceae
Erodium malacoides	Erodium	Geraniaceae
Erodium moschatum	Erodium	Geraniaceae
Erophaca baetica	Erophaca	Fabaceae
Eruca vesicaria	Eruca	Brassicaceae
Erucastrum nasturtiifolium	Erucastrum	Brassicaceae
Eryngium campestre	Eryngium	Apiaceae
Eryngium dilatatum	Eryngium	Apiaceae
Eryngium duriaei	Eryngium	Apiaceae
Eryngium maritimum	Eryngium	Apiaceae
Eryngium pandanifolium	Eryngium	Apiaceae
Erythronium dens-canis	Erythronium	Liliaceae
Eschscholzia californica	Eschscholzia	Papaveraceae
Eucalyptus camaldulensis	Eucalyptus	Myrtaceae
Eucalyptus globulus	Eucalyptus	Myrtaceae
Euonymus europaeus	Euonymus	Celastraceae
Eupatorium cannabinum	Eupatorium	Asteraceae
Euphorbia amygdaloides	Euphorbia	Euphorbiaceae
Euphorbia angulata	Euphorbia	Euphorbiaceae
Euphorbia characias	Euphorbia	Euphorbiaceae
Euphorbia dulcis	Euphorbia	Euphorbiaceae
Euphorbia esula	Euphorbia	Euphorbiaceae
Euphorbia exigua	Euphorbia	Euphorbiaceae
Euphorbia falcata	Euphorbia	Euphorbiaceae
Euphorbia flavicoma	Euphorbia	Euphorbiaceae
Euphorbia helioscopia	Euphorbia	Euphorbiaceae
Euphorbia hirsuta	Euphorbia	Euphorbiaceae
Euphorbia hyberna	Euphorbia	Euphorbiaceae
Euphorbia lathyris	Euphorbia	Euphorbiaceae
Euphorbia nicaeensis	Euphorbia	Euphorbiaceae
Euphorbia paniculata	Euphorbia	Euphorbiaceae
Euphorbia paralias	Euphorbia	Euphorbiaceae
Euphorbia peplus	Euphorbia	Euphorbiaceae
Euphorbia portlandica	Euphorbia	Euphorbiaceae
Euphorbia segetalis	Euphorbia	Euphorbiaceae
Euphorbia serrata	Euphorbia	Euphorbiaceae
Euphorbia terracina	Euphorbia	Euphorbiaceae
Fagonia cretica	Fagonia	Zygophyllaceae
Fagopyrum esculentum	Fagopyrum	Polygonaceae
Fallopia convolvulus	Fallopia	Polygonaceae
Fedia cornucopiae	Fedia	Caprifoliaceae
Ferula communis	Ferula	Apiaceae
Festuca rubra	Festuca	Poaceae
Ficus carica	Ficus	Moraceae
Filago lutescens	Filago	Asteraceae
Filago pyramidata	Filago	Asteraceae
Filipendula ulmaria	Filipendula	Rosaceae
